CarID,Brand,Model,Country,PlantLocation,YearOfManufacture,FuelType,Transmission,Segment,UnitsProduced,AverageCostPerUnit,TotalProductionCost,ElectricVehicle,DefectRate(%)
C0001,Honda,3 Series,USA,Munich,2016,Hybrid,Automatic,SUV,4456,14782,65868592,No,3.16
C0002,Tesla,A-Class,India,São Paulo,2013,Diesel,Automatic,Truck,72589,71196,5168046444,No,0.84
C0003,Nissan,Passat,USA,Detroit,2018,Electric,Automatic,Coupe,2865,36315,104042475,Yes,2.23
C0004,Hyundai,Altima,USA,Munich,2017,Hybrid,Automatic,Truck,72704,20052,1457860608,No,1.43
C0005,Honda,Model X,China,Detroit,2021,Diesel,Automatic,Truck,5500,29521,162365500,No,3.46
C0006,Kia,Passat,Mexico,Nagoya,2010,Petrol,Manual,Hatchback,57572,79434,4573174248,No,1.73
C0007,BMW,Optima,Brazil,Seoul,2011,Hybrid,Manual,Coupe,52999,79690,4223490310,No,0.88
C0008,Honda,Civic,South Korea,Chennai,2022,Electric,Automatic,Sedan,69711,45546,3175057206,Yes,1.4
C0009,Nissan,Elantra,China,Shanghai,2024,Petrol,Automatic,Crossover,13407,35972,482276604,No,2.32
C0010,Hyundai,3 Series,UK,Chennai,2022,Diesel,Automatic,Hatchback,17836,74385,1326730860,No,0.36
C0011,Tesla,A-Class,China,Nagoya,2011,Hybrid,Automatic,Coupe,52831,32030,1692176930,No,2.15
C0012,Nissan,3 Series,France,Munich,2021,Hybrid,Automatic,SUV,78255,50376,3942173880,No,3.27
C0013,Nissan,Passat,South Korea,Nagoya,2021,Electric,Automatic,Crossover,69283,28055,1943734565,Yes,2.99
C0014,BMW,Elantra,Japan,Chennai,2020,Petrol,Automatic,Crossover,70451,35493,2500517343,No,0.33
C0015,Mercedes,Optima,UK,Chennai,2024,Hybrid,Automatic,Hatchback,53009,46775,2479495975,No,3.48
C0016,Hyundai,Mustang,Germany,Shanghai,2024,Hybrid,Automatic,SUV,6972,61057,425689404,No,2.48
C0017,Ford,Model X,China,Paris,2017,Petrol,Automatic,Hatchback,22880,46253,1058268640,No,0.65
C0018,Nissan,Elantra,USA,Monterrey,2024,Hybrid,Automatic,Truck,27780,61884,1719137520,No,0.14
C0019,Mercedes,Civic,Brazil,Nagoya,2010,Petrol,Automatic,Coupe,22359,27705,619456095,No,0.68
C0020,Ford,Altima,Japan,Seoul,2013,Petrol,Manual,SUV,48902,54676,2673765752,No,2.95
C0021,Hyundai,Optima,China,Monterrey,2019,Petrol,Automatic,Crossover,8762,17101,149838962,No,0.17
C0022,Toyota,Model X,China,Nagoya,2021,Electric,Manual,Hatchback,11566,72495,838477170,Yes,0.89
C0023,Kia,A-Class,India,São Paulo,2014,Petrol,Automatic,Crossover,16054,14743,236684122,No,2.67
C0024,Mercedes,Altima,India,London,2018,Petrol,Automatic,SUV,7508,18951,142284108,No,2.09
C0025,Volkswagen,Passat,Japan,London,2016,Diesel,Automatic,Crossover,16738,17014,284780332,No,2.76
C0026,Toyota,Elantra,Mexico,Chennai,2017,Diesel,Automatic,Hatchback,17653,46180,815215540,No,2.64
C0027,Kia,Model X,India,London,2023,Electric,Manual,Hatchback,59853,66977,4008774381,Yes,0.27
C0028,BMW,Corolla,USA,Detroit,2020,Petrol,Automatic,Sedan,52592,69534,3656932128,No,3.13
C0029,Honda,Mustang,UK,Seoul,2018,Diesel,Automatic,Crossover,43652,73209,3195719268,No,0.87
C0030,Tesla,Mustang,Germany,London,2022,Diesel,Automatic,Sedan,49604,51908,2574844432,No,1.98
C0031,Volkswagen,Optima,South Korea,Munich,2016,Hybrid,Manual,Sedan,24783,60918,1509730794,No,2.29
C0032,BMW,A-Class,Germany,Detroit,2014,Petrol,Automatic,Crossover,46929,18219,854999451,No,0.67
C0033,Hyundai,Optima,Germany,Monterrey,2022,Diesel,Manual,SUV,77723,17163,1333959849,No,3.42
C0034,BMW,Corolla,South Korea,Detroit,2024,Electric,Manual,Truck,55457,12470,691548790,Yes,1.76
C0035,Honda,Civic,India,Nagoya,2014,Hybrid,Automatic,Hatchback,29387,26543,780019141,No,0.3
C0036,Hyundai,A-Class,Japan,Chennai,2019,Hybrid,Manual,Coupe,46672,29276,1366369472,No,3.29
C0037,Volkswagen,3 Series,South Korea,Shanghai,2020,Petrol,Manual,Sedan,4855,46881,227607255,No,2.09
C0038,Honda,Civic,France,Shanghai,2015,Petrol,Automatic,SUV,34201,17749,607033549,No,2.48
C0039,Ford,A-Class,Mexico,São Paulo,2014,Hybrid,Automatic,Crossover,42034,34182,1436806188,No,1.89
C0040,Tesla,A-Class,UK,Seoul,2022,Electric,Automatic,SUV,71942,31383,2257755786,Yes,2.94
C0041,Volkswagen,Corolla,Brazil,Nagoya,2021,Petrol,Automatic,SUV,61774,35412,2187540888,No,0.21
C0042,Ford,Passat,India,Shanghai,2020,Petrol,Automatic,Crossover,78608,23181,1822212048,No,1.01
C0043,Kia,Corolla,Mexico,Chennai,2018,Hybrid,Automatic,Coupe,12779,54898,701541542,No,1.7
C0044,Volkswagen,A-Class,South Korea,Monterrey,2012,Hybrid,Automatic,Crossover,43991,69630,3063093330,No,0.36
C0045,Kia,Model X,France,Shanghai,2012,Petrol,Automatic,Coupe,76647,13405,1027453035,No,2.5
C0046,Hyundai,Civic,Brazil,Munich,2024,Diesel,Automatic,Crossover,8761,20862,182771982,No,1.44
C0047,Ford,Corolla,UK,Detroit,2016,Petrol,Manual,Sedan,4974,64679,321713346,No,1.03
C0048,Tesla,Passat,UK,Shanghai,2016,Diesel,Manual,Coupe,28890,38688,1117696320,No,0.11
C0049,Honda,Elantra,India,Nagoya,2015,Hybrid,Automatic,Sedan,27425,58017,1591116225,No,2.55
C0050,Nissan,Optima,South Korea,London,2012,Diesel,Automatic,Coupe,59551,22939,1366040389,No,2.93
C0051,BMW,A-Class,Mexico,London,2023,Electric,Automatic,Coupe,5287,49585,262155895,Yes,1.44
C0052,Toyota,3 Series,Japan,Monterrey,2022,Hybrid,Manual,Crossover,73898,32942,2434347916,No,2.02
C0053,Tesla,Elantra,Mexico,London,2016,Petrol,Automatic,Coupe,58677,15272,896115144,No,0.87
C0054,Ford,Mustang,Mexico,Monterrey,2014,Petrol,Automatic,Sedan,44224,54134,2394022016,No,2.22
C0055,Nissan,Altima,UK,Nagoya,2016,Hybrid,Manual,Crossover,11163,34265,382500195,No,0.14
C0056,Tesla,Passat,Japan,Seoul,2011,Hybrid,Manual,Hatchback,16620,58192,967151040,No,1.76
C0057,Ford,3 Series,Japan,London,2015,Electric,Manual,Sedan,23240,38668,898644320,Yes,2.29
C0058,Mercedes,Altima,India,São Paulo,2023,Hybrid,Manual,Hatchback,2535,79283,200982405,No,3.22
C0059,Mercedes,Passat,Brazil,Chennai,2017,Petrol,Automatic,SUV,57943,19297,1118126071,No,1.4
C0060,Kia,Model X,China,Detroit,2010,Electric,Automatic,Crossover,67888,74005,5024051440,Yes,2.7
C0061,Tesla,Optima,Germany,London,2013,Petrol,Automatic,SUV,52835,68434,3615710390,No,2.13
C0062,Mercedes,Elantra,Germany,Monterrey,2020,Diesel,Automatic,Crossover,43815,74749,3275127435,No,3.25
C0063,Ford,Civic,UK,Nagoya,2010,Hybrid,Manual,Crossover,64665,11607,750566655,No,1.45
C0064,Kia,Passat,China,London,2023,Diesel,Automatic,Sedan,47127,69183,3260387241,No,1.18
C0065,Ford,Civic,Brazil,Shanghai,2010,Petrol,Automatic,Hatchback,8803,66305,583682915,No,3.12
C0066,Kia,Optima,China,London,2019,Diesel,Manual,Crossover,49834,37973,1892346482,No,0.27
C0067,Tesla,A-Class,India,Monterrey,2021,Diesel,Automatic,Hatchback,56392,33117,1867533864,No,0.56
C0068,Nissan,Mustang,Mexico,Munich,2023,Petrol,Manual,Crossover,61696,17645,1088625920,No,0.38
C0069,Honda,Elantra,UK,Munich,2023,Petrol,Manual,Hatchback,66200,52238,3458155600,No,2.97
C0070,Volkswagen,Optima,Japan,London,2020,Hybrid,Automatic,SUV,40226,79694,3205770844,No,0.14
C0071,Nissan,Optima,UK,Detroit,2017,Diesel,Automatic,Sedan,76251,51773,3947743023,No,3.03
C0072,Hyundai,Model X,Germany,Nagoya,2016,Electric,Automatic,Crossover,50106,26786,1342139316,Yes,1.63
C0073,Ford,Altima,Brazil,São Paulo,2021,Electric,Automatic,Truck,31194,50693,1581317442,Yes,0.11
C0074,Hyundai,Mustang,China,São Paulo,2019,Petrol,Automatic,Hatchback,31753,36578,1161461234,No,1.47
C0075,Nissan,Elantra,Brazil,London,2022,Petrol,Automatic,Hatchback,24730,56408,1394969840,No,0.74
C0076,Kia,A-Class,India,London,2010,Diesel,Manual,Truck,54474,79702,4341686748,No,2.22
C0077,Volkswagen,A-Class,UK,Munich,2020,Petrol,Automatic,Sedan,64045,25076,1605992420,No,2.41
C0078,Volkswagen,Corolla,South Korea,Monterrey,2023,Electric,Manual,Hatchback,17425,29377,511894225,Yes,1.76
C0079,Toyota,Optima,UK,Detroit,2022,Hybrid,Automatic,Sedan,6533,19278,125943174,No,0.24
C0080,Volkswagen,Passat,Japan,London,2011,Hybrid,Automatic,Hatchback,62961,74808,4709986488,No,2.33
C0081,Honda,Model X,UK,São Paulo,2013,Diesel,Manual,Coupe,3165,43539,137800935,No,2.96
C0082,Volkswagen,Mustang,France,Nagoya,2010,Hybrid,Automatic,Hatchback,27525,21440,590136000,No,2.55
C0083,Nissan,A-Class,India,Seoul,2012,Petrol,Automatic,Coupe,24033,36245,871076085,No,2.92
C0084,Toyota,Elantra,USA,Shanghai,2017,Petrol,Automatic,Crossover,46397,32097,1489204509,No,0.78
C0085,Nissan,Corolla,India,London,2017,Petrol,Manual,Sedan,78161,77092,6025587812,No,3.12
C0086,Nissan,Elantra,China,Monterrey,2017,Petrol,Automatic,Hatchback,21498,11151,239724198,No,1.2
C0087,BMW,Model X,USA,London,2015,Diesel,Automatic,SUV,61748,31698,1957288104,No,0.15
C0088,Toyota,Passat,China,Monterrey,2015,Hybrid,Automatic,SUV,23557,27601,650196757,No,2.97
C0089,Nissan,Corolla,China,Detroit,2014,Electric,Manual,Truck,79744,36807,2935137408,Yes,3.3
C0090,BMW,Corolla,Japan,Seoul,2022,Hybrid,Manual,SUV,71131,55302,3933686562,No,2.33
C0091,BMW,Altima,Japan,Chennai,2018,Petrol,Automatic,Coupe,67673,18039,1220753247,No,0.89
C0092,Toyota,Mustang,Mexico,Nagoya,2013,Electric,Manual,SUV,39234,57427,2253090918,Yes,0.96
C0093,Hyundai,Corolla,Germany,Nagoya,2019,Diesel,Automatic,SUV,62572,68049,4257962028,No,1.69
C0094,Kia,Altima,Mexico,Monterrey,2024,Petrol,Automatic,SUV,64675,29053,1879002775,No,3.15
C0095,Honda,Altima,Mexico,Munich,2021,Petrol,Automatic,Hatchback,64283,65413,4204943879,No,0.61
C0096,Kia,Model X,Germany,Monterrey,2021,Electric,Automatic,Truck,71239,75958,5411171962,Yes,2.91
C0097,Volkswagen,Civic,South Korea,Munich,2021,Diesel,Automatic,Sedan,51542,41275,2127396050,No,1.09
C0098,Honda,Elantra,USA,Paris,2016,Electric,Automatic,Truck,52857,36597,1934407629,Yes,2.85
C0099,Volkswagen,Passat,Brazil,São Paulo,2010,Diesel,Automatic,Coupe,9169,78908,723507452,No,3.23
C0100,Nissan,3 Series,Mexico,Nagoya,2024,Petrol,Manual,Hatchback,68402,65188,4458989576,No,1.55
C0101,Ford,Elantra,UK,Detroit,2018,Hybrid,Automatic,Crossover,19410,44710,867821100,No,1.34
C0102,Toyota,Corolla,UK,Monterrey,2016,Petrol,Automatic,Hatchback,57459,59050,3392953950,No,2.83
C0103,Honda,Passat,China,Detroit,2019,Hybrid,Manual,SUV,866,59249,51309634,No,1.9
C0104,Honda,A-Class,Germany,Seoul,2021,Hybrid,Automatic,SUV,48915,44247,2164342005,No,2.43
C0105,Nissan,Civic,China,Detroit,2018,Diesel,Automatic,Coupe,10407,36408,378898056,No,2.22
C0106,Hyundai,A-Class,France,London,2016,Electric,Manual,Crossover,33280,15443,513943040,Yes,0.62
C0107,BMW,A-Class,France,São Paulo,2011,Diesel,Automatic,Hatchback,58379,10079,588401941,No,2.97
C0108,Nissan,Mustang,Brazil,London,2024,Petrol,Automatic,Crossover,35585,48345,1720356825,No,0.77
C0109,Mercedes,Elantra,Japan,Shanghai,2015,Electric,Automatic,Sedan,65999,22901,1511443099,Yes,3.27
C0110,BMW,3 Series,Japan,Monterrey,2019,Hybrid,Manual,Truck,20926,77759,1627184834,No,0.95
C0111,Toyota,Model X,Germany,Nagoya,2021,Hybrid,Automatic,Hatchback,48697,52732,2567890204,No,2.6
