RestaurantID,RestaurantName,CuisineType,City,Rating,AverageCostForTwo,DeliveryAvailable,NumberOfReviews,EstablishedYear,MonthlyRevenue
R0001,Red Bistro,French,Tokyo,5.0,200,Yes,1243,1998,32860
R0002,Urban Grill,Mexican,Paris,4.1,1240,No,532,2000,41900
R0003,Street Hub,Thai,San Francisco,2.9,410,Yes,191,1988,108980
R0004,Spice Palace,Japanese,Sydney,4.8,1610,Yes,1477,2015,134090
R0005,Green Garden,French,Sydney,3.8,1920,No,260,1997,199450
R0006,Spice Hub,Korean,Dubai,2.9,1530,No,147,2011,76280
R0007,Golden Hub,Indian,Tokyo,4.8,840,No,1251,1985,158820
R0008,Urban Corner,French,Tokyo,4.4,400,Yes,760,2009,26600
R0009,Red Bistro,Thai,Berlin,4.3,230,Yes,463,2021,172480
R0010,Red Hub,Japanese,Toronto,4.3,1500,No,892,1995,53890
R0011,Green House,Mexican,Tokyo,3.0,1320,No,1882,1993,122980
R0012,Ocean Bistro,Thai,London,3.0,490,Yes,96,1991,50630
R0013,Urban Bistro,Thai,Toronto,4.2,500,Yes,1843,1998,48400
R0014,Royal Corner,Indian,London,3.0,1810,No,302,2014,127700
R0015,Blue Café,American,Sydney,3.6,390,Yes,101,2008,81460
R0016,Blue Grill,Japanese,Toronto,4.5,730,Yes,217,1987,131450
R0017,Blue Corner,Chinese,Tokyo,4.5,1450,Yes,1237,2023,189220
R0018,Spice Corner,Thai,Paris,3.6,1720,Yes,195,2011,192800
R0019,Ocean Hub,American,Dubai,4.5,340,Yes,1118,1985,83450
R0020,Spice Palace,Chinese,London,4.6,1850,Yes,1860,2022,153220
R0021,Blue Corner,Japanese,Toronto,4.1,1700,No,1697,2010,97470
R0022,Red Grill,Italian,Tokyo,3.1,1990,Yes,165,1990,183980
R0023,Red Lounge,Korean,Toronto,3.2,760,Yes,302,1996,133200
R0024,Blue Palace,American,Tokyo,3.3,980,No,542,2022,51350
R0025,Fire Garden,Mediterranean,Tokyo,2.8,1990,Yes,170,2019,42770
R0026,Urban Garden,Italian,Tokyo,3.2,1820,Yes,1419,1994,102020
R0027,Golden House,Korean,Berlin,3.0,330,Yes,1518,1993,36560
R0028,Blue Café,Indian,Dubai,3.6,1100,Yes,1536,2007,114390
R0029,Street Lounge,French,Paris,4.8,330,Yes,860,2014,160480
R0030,Green Garden,Mexican,Paris,2.8,1180,Yes,165,2006,37630
R0031,Green Café,Mediterranean,Toronto,4.3,520,No,152,1993,199130
R0032,Royal Corner,Indian,Toronto,4.2,1990,No,1802,2003,174130
R0033,Blue House,Japanese,Tokyo,2.7,200,Yes,1652,1992,98650
R0034,Street Grill,Indian,Berlin,4.8,530,Yes,1317,1988,89100
R0035,Golden Hub,French,Tokyo,3.9,380,Yes,571,1989,46170
R0036,Blue Café,Japanese,Berlin,3.4,1710,Yes,44,2003,167400
R0037,Ocean House,Mediterranean,Tokyo,4.4,230,Yes,233,2002,47540
R0038,Green Café,French,London,3.1,1830,No,677,2013,101010
R0039,Royal Grill,Chinese,London,4.2,960,Yes,402,2003,198100
R0040,Street Kitchen,Mexican,Sydney,2.6,770,Yes,417,1990,100670
R0041,Green Bistro,Mediterranean,Tokyo,4.6,1790,Yes,1736,1989,72080
R0042,Spice Palace,Chinese,Dubai,3.6,1560,Yes,1421,1989,161770
R0043,Golden House,Korean,Sydney,4.1,1220,No,1729,1992,169280
R0044,Blue Grill,Mediterranean,Toronto,3.1,860,No,1782,2011,124250
R0045,Red Hub,Korean,San Francisco,4.2,1350,Yes,306,2021,151820
R0046,Green Lounge,Japanese,Tokyo,4.4,1670,Yes,332,2022,82220
R0047,Green Hub,Chinese,London,3.7,1390,No,1849,2021,164800
R0048,Golden Kitchen,Mexican,San Francisco,4.0,410,No,1887,2002,142890
R0049,Street Hub,French,Berlin,3.6,1310,No,1521,2010,45630
R0050,Spice Garden,Thai,San Francisco,4.7,940,Yes,1603,2000,48030
R0051,Blue Corner,Indian,Dubai,3.7,1950,Yes,48,2006,82090
R0052,Royal House,Italian,Tokyo,4.6,1550,Yes,514,2007,42930
R0053,Spice Bistro,Mexican,Paris,4.5,1620,Yes,1536,1987,177890
R0054,Street Palace,Chinese,San Francisco,3.5,510,No,762,1987,25710
R0055,Blue Bistro,Thai,Paris,3.1,860,Yes,1570,1996,93990
R0056,Green Bistro,Mexican,Berlin,3.5,230,Yes,1349,2007,170140
R0057,Royal Bistro,Chinese,Sydney,4.6,490,Yes,1529,1995,105740
R0058,Royal Corner,American,Paris,3.1,320,No,1150,2013,78290
R0059,Urban Corner,American,Sydney,3.8,400,Yes,1375,1990,194670
R0060,Blue Corner,Korean,London,4.5,600,Yes,1915,2000,127090
R0061,Golden Corner,Mexican,Tokyo,3.4,1400,Yes,249,2018,143610
R0062,Fire House,American,San Francisco,4.1,380,Yes,696,2021,191570
R0063,Street Café,Chinese,London,3.1,670,Yes,1478,1995,132480
R0064,Fire Bistro,Korean,London,2.8,1050,Yes,1885,1995,97930
R0065,Green Lounge,Chinese,Singapore,4.5,820,No,749,2009,45970
R0066,Fire Corner,Korean,New York,2.7,1670,Yes,1006,2003,179730
R0067,Blue Corner,Mexican,Dubai,3.2,560,Yes,496,2016,153600
R0068,Fire Grill,Thai,Sydney,4.6,500,No,774,1992,34030
R0069,Royal Lounge,French,Singapore,3.4,930,No,1444,1996,53200
R0070,Ocean Café,Mediterranean,New York,4.9,1650,Yes,1925,2019,92390
R0071,Royal Palace,Thai,Dubai,4.9,1260,Yes,632,1990,167820
R0072,Fire Palace,Japanese,Sydney,3.2,1220,Yes,1786,2005,86490
R0073,Green Lounge,Chinese,Tokyo,2.6,1290,Yes,745,2010,160200
R0074,Green Hub,Japanese,Dubai,4.3,390,No,307,1985,94200
R0075,Royal Café,Thai,San Francisco,3.6,1580,No,1085,2001,28690
R0076,Green Garden,Korean,London,2.8,1050,Yes,742,2019,84420
R0077,Blue Hub,Mediterranean,New York,4.3,630,Yes,1010,2011,112750
R0078,Blue Café,Mediterranean,New York,2.6,1010,Yes,313,1986,29730
R0079,Blue Kitchen,Italian,New York,4.7,830,Yes,1321,2020,119940
R0080,Street Café,Mediterranean,Sydney,2.8,1410,Yes,673,1985,173940
R0081,Green Grill,French,San Francisco,2.8,1810,Yes,908,1994,160780
R0082,Golden Garden,Mediterranean,Dubai,2.9,1060,Yes,1151,2015,195720
R0083,Urban Corner,Thai,London,4.9,840,Yes,1956,2021,71470
R0084,Blue Garden,Italian,San Francisco,4.2,740,Yes,1457,1989,54430
R0085,Spice Kitchen,Thai,Singapore,4.5,930,Yes,800,1997,141260
R0086,Urban House,Thai,Tokyo,3.5,1360,Yes,656,2008,76840
R0087,Spice Kitchen,Indian,Paris,3.3,1480,No,218,2011,155950
R0088,Urban Hub,Italian,San Francisco,3.1,1850,Yes,1160,1985,33210
R0089,Red Bistro,Thai,Singapore,3.7,1560,Yes,1326,2004,168100
R0090,Blue Garden,Indian,London,3.9,1140,Yes,528,1992,87400
R0091,Green Kitchen,Indian,Paris,4.1,1640,Yes,1255,1987,74680
R0092,Urban Kitchen,Italian,Paris,3.1,1180,Yes,86,2016,155180
R0093,Urban Lounge,Japanese,San Francisco,4.9,1310,Yes,347,2009,147040
R0094,Red Corner,Korean,New York,2.9,710,Yes,872,2009,24380
R0095,Urban Garden,French,Toronto,4.9,1650,Yes,1823,1998,21640
R0096,Green Bistro,Korean,London,2.5,520,Yes,1879,2011,76780
R0097,Green House,Mediterranean,New York,3.7,230,Yes,1883,2016,53370
R0098,Fire Palace,French,London,3.3,1060,No,1772,2011,53500
R0099,Ocean Garden,Mediterranean,Toronto,3.6,940,Yes,922,1988,193710
R0100,Golden Grill,Thai,Tokyo,3.9,1990,Yes,1308,2023,45290
R0101,Red Bistro,Chinese,Toronto,3.6,280,Yes,1896,1995,144060
R0102,Spice Bistro,Italian,Berlin,3.5,830,Yes,816,1987,77560
R0103,Green Hub,French,San Francisco,4.3,490,Yes,1150,2009,101050
R0104,Red Grill,French,San Francisco,4.2,1550,Yes,1325,2008,197100
R0105,Golden Bistro,Thai,Singapore,4.6,1520,No,1304,1993,122160
R0106,Fire Garden,Japanese,New York,3.1,950,Yes,1480,1992,65930
R0107,Green Lounge,Indian,Singapore,4.0,1480,Yes,1190,2023,21930
R0108,Fire Corner,Thai,Berlin,4.0,340,Yes,581,2015,84010
R0109,Urban Café,American,Toronto,3.4,1080,Yes,1217,2001,37370
R0110,Fire Lounge,Indian,San Francisco,3.7,1850,Yes,433,2015,118820
R0111,Royal Corner,Italian,Sydney,3.3,1890,No,1689,1988,172460
R0112,Fire Palace,Indian,Toronto,2.9,1470,Yes,682,1988,82830
R0113,Red House,Japanese,Toronto,3.0,1930,No,1634,2021,133600
R0114,Spice Bistro,Indian,Berlin,2.8,450,Yes,1049,1992,178590
R0115,Red Corner,Italian,Tokyo,4.2,800,No,935,1990,95990
R0116,Royal House,Japanese,London,4.2,1420,No,1794,1993,124280
R0117,Golden Bistro,Korean,Berlin,4.9,860,No,107,1992,164170
