Store,Region,ProductCategory,MarketingSpend,Revenue,CustomerSatisfaction
Store 1,South,Electronics,29700,97700,4.6
Store 2,East,Home & Garden,39100,330700,3.6
Store 3,East,Sports,30900,137300,4.1
Store 4,East,Clothing,57400,389400,4.2
Store 5,East,Sports,12500,54100,4.1
Store 6,North,Home & Garden,31000,193600,4.2
Store 7,North,Clothing,39100,267200,3.8
Store 8,East,Clothing,41000,245100,4.1
Store 9,South,Sports,39300,224800,3.7
Store 10,North,Electronics,14100,67700,4.0
Store 11,South,Sports,24400,216700,3.4
Store 12,West,Electronics,47900,187400,4.0
Store 13,East,Clothing,48200,310300,4.7
Store 14,South,Home & Garden,44800,294200,4.2
Store 15,West,Clothing,52000,450700,4.0
Store 16,East,Clothing,46600,226400,4.2
Store 17,West,Home & Garden,45800,381200,3.8
Store 18,West,Home & Garden,18400,68100,3.3
Store 19,South,Electronics,46900,252700,4.8
Store 20,West,Clothing,18300,99000,3.7
Store 21,North,Sports,53200,248500,3.9
Store 22,South,Sports,57900,226100,3.5
Store 23,North,Electronics,10600,84700,3.5
Store 24,South,Clothing,17300,107400,4.2
Store 25,South,Electronics,44500,271100,4.2
Store 26,East,Sports,55000,422400,4.7
Store 27,West,Sports,29900,108300,4.3
Store 28,East,Electronics,13400,57000,3.5
Store 29,South,Clothing,15100,96700,4.1
Store 30,South,Clothing,13500,57300,3.8
Store 31,South,Home & Garden,40100,234400,3.4
Store 32,West,Sports,34000,165600,3.4
Store 33,South,Home & Garden,33900,242500,4.1
Store 34,North,Home & Garden,17300,108300,3.2
Store 35,South,Clothing,44800,204600,3.8
Store 36,North,Home & Garden,48600,301100,4.5
Store 37,South,Electronics,40700,314600,4.5
Store 38,North,Electronics,50900,378700,3.6
Store 39,West,Home & Garden,46600,416500,4.5
Store 40,West,Home & Garden,19700,130600,3.8
Store 41,South,Home & Garden,14000,50600,4.0
Store 42,South,Electronics,34100,303900,4.2
Store 43,East,Sports,55500,281100,4.3
Store 44,East,Sports,49100,368300,4.0
Store 45,North,Sports,49500,247300,4.6
Store 46,West,Sports,30100,261300,4.4
Store 47,North,Electronics,11400,74600,4.0
Store 48,North,Sports,42900,218900,4.1
Store 49,North,Clothing,10700,94400,4.3
Store 50,North,Sports,59300,247200,4.7
Store 51,East,Home & Garden,20600,123700,4.5
Store 52,South,Home & Garden,37200,297800,3.3
Store 53,South,Sports,43100,340100,4.1
Store 54,North,Electronics,36200,112700,3.9
Store 55,North,Clothing,48800,190300,3.4
Store 56,East,Clothing,26300,160700,4.1
Store 57,East,Clothing,22400,104400,4.5
Store 58,West,Clothing,48000,406800,4.0
Store 59,North,Home & Garden,32600,202100,4.0
Store 60,North,Home & Garden,56100,468800,3.5
Store 61,West,Electronics,30800,164900,3.7
Store 62,North,Sports,13700,96100,4.5
Store 63,North,Home & Garden,17100,141900,4.8
Store 64,North,Clothing,29900,177100,4.9
Store 65,North,Electronics,45300,406100,3.9
Store 66,West,Electronics,27800,98800,3.8
Store 67,South,Sports,32000,99500,3.8
Store 68,South,Clothing,15600,132800,3.6
Store 69,East,Clothing,23300,75400,4.5
Store 70,South,Electronics,51000,413000,4.3
Store 71,South,Sports,17500,149000,4.2
Store 72,South,Clothing,24000,187100,3.5
Store 73,East,Home & Garden,56900,387300,4.6
Store 74,East,Electronics,13300,108700,4.0
Store 75,South,Sports,56300,259400,3.4
Store 76,North,Clothing,58500,267400,3.5
Store 77,South,Home & Garden,36600,155000,4.0
Store 78,North,Home & Garden,27400,85200,3.6
Store 79,East,Clothing,46700,294500,3.5
Store 80,West,Electronics,56700,206300,4.6
Store 81,West,Sports,37300,310800,4.8
Store 82,South,Electronics,59100,298800,4.6
Store 83,North,Sports,59500,529000,4.6
Store 84,East,Clothing,41300,341900,3.9
Store 85,East,Clothing,43300,228900,4.1
Store 86,South,Electronics,44600,145900,3.5
Store 87,South,Sports,10200,52900,3.8
Store 88,South,Electronics,11700,97000,3.6
Store 89,North,Clothing,26800,93900,3.7
Store 90,North,Electronics,35200,106600,3.6
Store 91,East,Electronics,30000,97500,3.2
Store 92,South,Electronics,14200,124200,4.7
Store 93,North,Sports,48200,353000,4.0
Store 94,South,Electronics,12200,97700,4.7
Store 95,West,Electronics,55500,417200,4.2
Store 96,East,Electronics,14300,46500,4.3
Store 97,East,Sports,51800,329000,4.3
Store 98,North,Sports,23200,133200,3.3
Store 99,East,Clothing,47300,276400,4.6
Store 100,South,Electronics,46500,196800,4.5
Store 101,West,Sports,52300,181000,4.7
Store 102,South,Clothing,40800,279700,3.3
Store 103,North,Home & Garden,22700,169300,3.7
Store 104,North,Clothing,34100,201700,4.9
Store 105,East,Electronics,43800,207800,4.1
Store 106,West,Sports,33300,123600,4.7
Store 107,North,Home & Garden,58900,507600,3.2
Store 108,West,Clothing,51000,449200,4.0
Store 109,South,Sports,20500,177800,3.6
Store 110,East,Electronics,47400,216700,3.8
Store 111,South,Clothing,45200,198400,4.7
Store 112,West,Sports,11200,33800,4.0
Store 113,West,Sports,25100,96500,3.8
Store 114,South,Clothing,52000,156500,4.5
Store 115,West,Clothing,57000,237900,3.2
Store 116,South,Home & Garden,28600,153200,4.9
Store 117,East,Home & Garden,56300,424200,4.7
Store 118,South,Clothing,12600,87800,4.3
Store 119,North,Electronics,58600,329200,3.7
Store 120,South,Sports,54200,426700,4.3
Store 121,North,Clothing,12500,92400,4.0
Store 122,North,Home & Garden,34300,290600,4.1
Store 123,North,Sports,30700,144000,3.6
Store 124,South,Sports,42800,205700,4.1
Store 125,West,Clothing,18400,73000,3.6
Store 126,West,Electronics,32600,162900,4.5
Store 127,West,Electronics,37400,167000,3.5
Store 128,East,Home & Garden,22000,100100,4.2
Store 129,East,Sports,29100,217500,3.6
Store 130,South,Home & Garden,47600,285100,4.2
Store 131,South,Electronics,44300,273600,4.5
Store 132,North,Clothing,23600,106000,3.9
Store 133,West,Sports,57700,466900,4.7
Store 134,East,Electronics,11600,84200,4.7
Store 135,West,Sports,10000,53500,4.8
Store 136,West,Sports,22400,81900,3.5
