Restaurant_ID,Restaurant_Name,Cuisine_Type,City,Average_Rating,Average_Cost_for_Two,Number_of_Reviews
1000,Coastal Catch,Chinese,Mumbai,4.5,1150,964
1001,The Grill Room,Chinese,Delhi,4.2,500,172
1002,Café Aroma,Mexican,Chennai,4,450,2348
1003,Dragon Hut,Mediterranean,Chennai,3.9,1250,76
1004,Veggie Tales,Italian,Kolkata,3.7,850,931
1005,Veggie Tales,Cafe,Delhi,3.2,700,1520
1006,Sushi Garden,Continental,Mumbai,4.5,2100,561
1007,Biryani Express,Chinese,Pune,4.7,2350,1531
1008,Kebab Corner,Mexican,Delhi,3.1,1100,1235
1009,Café Aroma,Mexican,Delhi,3.8,1850,1544
1010,Masala Junction,Cafe,Hyderabad,3.4,1250,342
1011,Noodle Bar,Italian,Chennai,3.3,1600,1155
1012,Coastal Catch,Mexican,Hyderabad,4.7,550,988
1013,Urban Bites,Cafe,Kolkata,3.5,1050,2373
1014,Pizza Plaza,Cafe,Chennai,4.3,1650,1929
1015,The Grill Room,Continental,Bangalore,3.5,2150,2257
1016,Curry Leaf,Mediterranean,Kolkata,3.7,800,2137
1017,Royal Tandoor,Chinese,Mumbai,4.7,850,705
1018,The Coffee House,Mediterranean,Delhi,3.8,2300,1967
1019,Asian Delight,Continental,Mumbai,4.4,750,2249
1020,Veggie Tales,Continental,Hyderabad,3.2,1750,697
1021,Pasta Punto,Indian,Pune,4.9,950,2129
1022,Taco Fiesta,Continental,Chennai,3.3,900,2259
1023,Veggie Tales,Indian,Hyderabad,4,750,1536
1024,Bella Italia,Mexican,Mumbai,3.5,2200,372
1025,Café Aroma,Japanese,Delhi,5,2100,565
1026,The Grill Room,Japanese,Bangalore,3.5,2300,1783
1027,Dragon Hut,Mexican,Pune,3.8,2450,1579
1028,Pasta Punto,Japanese,Delhi,3.5,600,1434
1029,Spice Villa,Mexican,Chennai,3,2400,291
1030,Olive Tree,Chinese,Mumbai,4.7,600,2155
1031,Olive Tree,Continental,Jaipur,3.4,800,2388
1032,Kebab Corner,Japanese,Chennai,4.6,1700,829
1033,Taco Fiesta,Chinese,Kolkata,3.7,1700,1962
1034,Steak Story,Indian,Delhi,3.1,1450,497
1035,Olive Tree,Mexican,Chennai,4.1,800,1778
1036,Masala Junction,Continental,Jaipur,3.5,600,1865
1037,Burger Town,Chinese,Mumbai,4.3,2100,110
1038,Café Aroma,Mexican,Bangalore,3.8,1900,925
1039,Biryani Express,Indian,Bangalore,3.8,1600,1136
1040,Pasta Punto,Continental,Kolkata,4.4,2150,2043
1041,The Grill Room,Mexican,Pune,3.4,550,2422
1042,Steak Story,Indian,Hyderabad,3.1,2250,2002
1043,Asian Delight,Italian,Mumbai,4.9,650,811
1044,Café Aroma,Chinese,Chennai,3.8,2200,1058
1045,Kebab Corner,Indian,Delhi,3.8,2250,2365
1046,Asian Delight,Cafe,Pune,3.4,1400,1027
1047,Curry Leaf,Mediterranean,Bangalore,4.3,1350,1922
1048,The Green Bowl,Chinese,Mumbai,3.9,2200,459
1049,Café Aroma,Mexican,Pune,3.3,1500,331
1050,Olive Tree,Cafe,Pune,3.3,2100,1289
1051,Noodle Bar,Indian,Pune,4.9,700,600
1052,Curry Leaf,Chinese,Delhi,4.5,850,1165
1053,Bella Italia,Mexican,Hyderabad,3.4,2400,1131
1054,Asian Delight,Japanese,Pune,4.8,550,428
1055,Coastal Catch,Mediterranean,Pune,3.1,1450,585
1056,Coastal Catch,Continental,Bangalore,4.5,2150,1801
1057,Burger Town,Indian,Delhi,3.2,850,2284
1058,Urban Bites,Cafe,Bangalore,3.9,500,1312
1059,Sushi Garden,Indian,Hyderabad,3.4,1150,471
1060,Sushi Garden,Mediterranean,Bangalore,4.9,1150,715
1061,Masala Junction,Mediterranean,Mumbai,3.4,1450,1736
1062,The Coffee House,Mexican,Pune,3.3,700,1616
1063,Urban Bites,Japanese,Chennai,3.4,1850,1482
1064,Bella Italia,Mexican,Chennai,3,1000,1682
1065,The Green Bowl,Continental,Delhi,4.9,1250,1488
1066,Coastal Catch,Mediterranean,Hyderabad,4.9,750,1119
1067,Masala Junction,Continental,Mumbai,3.2,1750,1465
1068,Steak Story,Cafe,Kolkata,4.2,2000,523
