Date,Precipitation,Temp_max,Temp_min,Wind,Weather
01-01-2015,10.0,11.4,9.0,Moderate,storm
02-01-2015,3.6,18.5,9.7,Moderate,rain
03-01-2015,11.5,14.0,10.5,Moderate,drizzle
04-01-2015,20.2,15.9,11.3,Moderate,cloudy
05-01-2015,2.7,24.1,9.4,Low,drizzle
06-01-2015,2.7,31.7,11.1,Moderate,storm
07-01-2015,20.8,22.8,17.9,High,sunny
08-01-2015,12.7,11.6,14.9,High,cloudy
09-01-2015,0.3,23.1,14.3,High,storm
10-01-2015,10.4,28.4,7.7,Moderate,cloudy
11-01-2015,0.4,15.7,5.6,Moderate,drizzle
12-01-2015,0.3,19.1,14.8,High,rain
13-01-2015,7.4,20.1,14.4,Low,storm
14-01-2015,14.1,14.5,17.4,Moderate,sunny
15-01-2015,12.2,24.5,7.0,Moderate,drizzle
16-01-2015,0.6,19.2,8.9,High,storm
17-01-2015,5.1,22.9,1.8,High,sunny
18-01-2015,8.1,13.8,8.0,High,storm
19-01-2015,4.1,16.9,15.0,High,drizzle
20-01-2015,9.1,25.1,7.7,Moderate,storm
21-01-2015,19.7,17.4,13.2,Moderate,cloudy
22-01-2015,2.7,32.1,9.0,Moderate,drizzle
23-01-2015,5.7,17.2,11.6,High,storm
24-01-2015,9.2,21.6,4.3,Moderate,rain
25-01-2015,0.4,26.5,10.4,Moderate,storm
26-01-2015,6.1,10.1,-5.0,High,cloudy
27-01-2015,6.5,7.7,9.1,High,sunny
28-01-2015,8.8,9.3,1.8,Moderate,sunny
29-01-2015,1.0,28.8,16.0,Moderate,sunny
30-01-2015,2.1,16.1,13.9,Low,rain
31-01-2015,1.0,37.9,12.3,Low,cloudy
01-02-2015,23.5,16.1,17.6,Moderate,drizzle
02-02-2015,4.9,21.3,5.3,High,sunny
03-02-2015,5.6,30.8,18.7,Moderate,cloudy
04-02-2015,13.2,34.0,14.7,Low,storm
05-02-2015,7.2,34.4,8.8,Moderate,rain
06-02-2015,7.1,28.5,15.7,Low,cloudy
07-02-2015,14.6,27.2,4.5,High,cloudy
08-02-2015,8.3,24.1,5.9,Low,drizzle
09-02-2015,7.0,25.4,7.0,High,cloudy
10-02-2015,12.4,16.1,7.4,High,drizzle
11-02-2015,6.7,14.3,4.7,Moderate,rain
12-02-2015,3.8,20.0,16.1,Low,rain
13-02-2015,2.0,18.8,8.7,Moderate,storm
14-02-2015,9.8,16.8,11.8,Moderate,drizzle
15-02-2015,2.2,24.9,7.1,Moderate,drizzle
16-02-2015,0.4,26.7,0.9,Moderate,sunny
17-02-2015,15.6,20.6,11.4,Low,sunny
18-02-2015,8.4,30.3,0.4,Low,storm
19-02-2015,12.6,12.0,9.7,Moderate,rain
20-02-2015,8.2,18.6,3.2,Moderate,sunny
21-02-2015,1.1,15.0,19.9,Moderate,cloudy
22-02-2015,1.8,6.9,14.6,High,rain
23-02-2015,11.1,19.4,10.5,High,cloudy
24-02-2015,15.3,19.1,16.3,Moderate,drizzle
25-02-2015,14.3,30.6,5.8,Moderate,rain
26-02-2015,3.4,24.4,12.7,High,storm
27-02-2015,1.9,12.8,11.0,Low,drizzle
28-02-2015,8.3,33.0,11.3,Moderate,drizzle
01-03-2015,14.8,28.5,16.4,High,cloudy
02-03-2015,0.2,24.1,13.7,High,drizzle
03-03-2015,3.1,18.4,11.4,Low,sunny
04-03-2015,6.1,13.3,1.7,Moderate,rain
05-03-2015,7.0,17.4,5.2,Moderate,sunny
06-03-2015,13.1,27.6,9.4,Moderate,cloudy
07-03-2015,18.6,33.2,10.5,High,cloudy
08-03-2015,4.3,30.8,4.3,High,rain
09-03-2015,15.0,16.6,22.1,Moderate,drizzle
10-03-2015,8.6,12.2,17.6,Moderate,storm
11-03-2015,1.5,21.0,13.0,High,cloudy
12-03-2015,8.6,7.6,10.4,Moderate,rain
13-03-2015,20.4,22.3,8.9,High,storm
14-03-2015,4.6,19.0,5.2,Moderate,drizzle
15-03-2015,20.6,16.7,10.4,Low,cloudy
16-03-2015,21.2,8.8,11.3,Low,rain
17-03-2015,13.2,23.6,3.8,Low,rain
18-03-2015,5.9,16.3,11.7,High,rain
19-03-2015,2.0,11.8,9.2,High,cloudy
20-03-2015,5.9,-0.1,0.5,High,storm
21-03-2015,14.9,19.8,5.7,High,rain
22-03-2015,2.8,32.4,7.9,High,drizzle
23-03-2015,8.6,31.6,19.4,Moderate,rain
24-03-2015,19.8,16.8,12.8,Low,storm
25-03-2015,0.2,15.8,3.3,High,cloudy
26-03-2015,3.1,23.3,12.4,Moderate,rain
27-03-2015,0.0,13.0,2.3,Moderate,rain
28-03-2015,14.2,22.1,15.4,Moderate,drizzle
29-03-2015,8.3,25.4,7.6,Moderate,drizzle
30-03-2015,0.3,28.6,9.5,High,rain
31-03-2015,10.1,19.3,16.6,High,rain
01-04-2015,6.0,18.6,3.6,High,drizzle
02-04-2015,14.7,13.9,3.0,High,storm
03-04-2015,2.0,14.2,7.1,High,sunny
04-04-2015,1.7,18.4,15.2,Moderate,sunny
05-04-2015,1.1,22.6,2.4,High,rain
06-04-2015,9.6,26.4,-4.2,Low,drizzle
07-04-2015,8.0,14.4,7.7,High,cloudy
08-04-2015,7.6,30.4,12.8,Low,cloudy
09-04-2015,5.1,18.1,16.0,Moderate,sunny
10-04-2015,2.7,19.9,7.7,Moderate,storm
11-04-2015,9.2,14.8,7.9,High,sunny
12-04-2015,0.8,3.0,15.8,Moderate,rain
13-04-2015,1.6,26.2,0.7,Low,storm
14-04-2015,3.0,25.2,8.1,Moderate,cloudy
15-04-2015,3.4,18.0,11.0,Moderate,drizzle
16-04-2015,9.0,20.5,12.2,High,drizzle
17-04-2015,23.9,23.6,7.5,Moderate,rain
18-04-2015,6.7,9.1,10.2,Moderate,sunny
19-04-2015,7.6,16.3,-2.4,Moderate,rain
20-04-2015,4.3,25.6,6.7,Moderate,drizzle
21-04-2015,14.2,11.2,12.3,Moderate,cloudy
22-04-2015,4.7,22.1,5.1,High,drizzle
23-04-2015,5.6,10.5,10.3,High,storm
24-04-2015,29.6,23.3,12.2,Moderate,drizzle
25-04-2015,3.1,19.8,8.3,High,drizzle
26-04-2015,8.0,8.7,10.9,Low,storm
27-04-2015,4.7,28.2,5.2,Low,sunny
28-04-2015,6.7,14.9,9.0,Moderate,drizzle
29-04-2015,16.4,14.3,13.1,Low,rain
30-04-2015,12.5,21.4,10.8,Low,drizzle
01-05-2015,12.9,28.0,7.1,Moderate,rain
02-05-2015,4.1,12.9,11.1,Moderate,storm
03-05-2015,19.0,20.4,13.6,Moderate,drizzle
04-05-2015,9.0,23.0,-0.2,High,storm
05-05-2015,10.9,24.9,15.8,Moderate,storm
06-05-2015,26.9,21.2,8.3,High,sunny
07-05-2015,4.9,17.4,12.1,Moderate,drizzle
08-05-2015,0.7,14.2,16.0,Low,rain
09-05-2015,6.0,20.6,3.1,High,rain
10-05-2015,0.0,12.5,6.5,Moderate,drizzle
11-05-2015,10.5,-0.4,8.6,Moderate,sunny
12-05-2015,5.7,23.1,6.1,Moderate,sunny
13-05-2015,5.6,26.3,18.7,Moderate,sunny
14-05-2015,9.7,3.5,5.7,Moderate,rain
15-05-2015,4.2,12.9,7.2,Moderate,storm
16-05-2015,20.5,24.3,11.0,Moderate,sunny
17-05-2015,2.8,34.4,4.0,Moderate,rain
18-05-2015,1.8,20.1,8.0,Moderate,rain
19-05-2015,13.1,14.9,11.6,High,storm
20-05-2015,7.3,18.7,8.3,High,drizzle
21-05-2015,7.3,29.6,9.5,Very High,drizzle
22-05-2015,18.1,15.5,7.4,High,sunny
23-05-2015,11.1,14.4,2.4,High,sunny
24-05-2015,6.8,16.6,11.6,Low,storm
25-05-2015,7.6,13.3,18.8,High,sunny
26-05-2015,12.8,20.9,10.1,Moderate,storm
27-05-2015,7.4,31.4,11.1,Moderate,rain
28-05-2015,8.2,22.3,13.5,Moderate,sunny
29-05-2015,10.2,18.2,3.7,High,rain
30-05-2015,8.0,18.0,18.5,High,cloudy
31-05-2015,7.5,9.1,11.0,Moderate,storm
01-06-2015,8.5,26.2,18.2,High,cloudy
02-06-2015,1.8,19.5,6.3,Moderate,sunny
03-06-2015,7.3,18.7,19.1,Moderate,rain
04-06-2015,7.9,42.4,13.9,Moderate,sunny
05-06-2015,2.1,22.1,12.8,Moderate,cloudy
06-06-2015,23.7,14.7,11.2,High,sunny
